route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
2,305,122037020,NORTH CHATTANOOGA,,4102,2:01
2,305,122024020,NORTH CHATTANOOGA,,3802,2:01
2,305,122025020,NORTH CHATTANOOGA,,3702,2:01
2,305,122026020,NORTH CHATTANOOGA,,3702,2:01
2,305,122027020,NORTH CHATTANOOGA,,3702,2:01
2,305,122028020,NORTH CHATTANOOGA,,3702,2:01
2,305,122029020,NORTH CHATTANOOGA,,3702,2:01
2,305,120257020,DOWNTOWN,,3802,2:51
2,305,120258020,DOWNTOWN,,3702,2:51
2,305,120259020,DOWNTOWN,,3802,2:51
2,305,120260020,DOWNTOWN,,3702,2:51
2,305,120261020,DOWNTOWN,,3802,2:51
2,305,120262020,DOWNTOWN,,3702,2:51
2,305,120279020,DOWNTOWN,,3802,2:51
2,305,120276020,DOWNTOWN,,4102,2:51
2,305,120277020,DOWNTOWN,,3902,2:51
2,305,120278020,DOWNTOWN,,4102,2:51
2,305,120270020,DOWNTOWN,,4002,2:51
2,305,120271020,DOWNTOWN,,3902,2:51
2,305,120272020,DOWNTOWN,,4102,2:51
2,305,120273020,DOWNTOWN,,3902,2:51
2,305,120274020,DOWNTOWN,,4102,2:51
2,305,120275020,DOWNTOWN,,3902,2:51
2,305,120263020,DOWNTOWN,,3702,2:51
2,305,120264020,DOWNTOWN,,3802,2:51
2,305,120265020,DOWNTOWN,,3702,2:51
2,305,120266020,DOWNTOWN,,3802,2:51
2,305,120267020,DOWNTOWN,,3702,2:51
2,305,120268020,DOWNTOWN,,3802,2:51
21,58,120345070,GOLDEN GATEWAY,,9407,21:01
21,58,120346070,GOLDEN GATEWAY,,9007,21:01
21,58,120347070,GOLDEN GATEWAY,,1707,21:01
21,58,120348070,GOLDEN GATEWAY,,8907,21:01
21,58,120349070,GOLDEN GATEWAY,,8807,21:01
21,64,120365010,GOLDEN GATEWAY,,7101,21:01
21,58,120340070,GOLDEN GATEWAY,,8107,21:01
21,58,120341070,GOLDEN GATEWAY,,8507,21:01
21,58,120342070,GOLDEN GATEWAY,,7507,21:01
21,58,120343070,GOLDEN GATEWAY,,7207,21:01
21,58,120344070,GOLDEN GATEWAY,,8407,21:01
21,64,120370010,GOLDEN GATEWAY,,7501,21:01
21,64,120371010,GOLDEN GATEWAY,,7501,21:01
21,64,120372010,GOLDEN GATEWAY,,7301,21:01
21,58,120337070,GOLDEN GATEWAY,,7107,21:01
21,58,120338070,GOLDEN GATEWAY,,8407,21:01
21,58,120339070,GOLDEN GATEWAY,,7307,21:01
21,58,122126070,GOLDEN GATEWAY,,7307,21:01
21,58,122128070,GOLDEN GATEWAY,,9107,21:01
21,64,120366010,GOLDEN GATEWAY,,7101,21:01
21,64,120367010,GOLDEN GATEWAY,,7101,21:01
21,64,120368010,GOLDEN GATEWAY,,7301,21:01
21,64,120369010,GOLDEN GATEWAY,,7301,21:01
21,305,120327020,DOWNTOWN,,4102,21:51
21,305,120328020,DOWNTOWN,,3902,21:51
21,305,120329020,DOWNTOWN,,4102,21:51
21,305,120330020,DOWNTOWN,,3902,21:51
21,305,120336020,DOWNTOWN,,3702,21:51
21,305,120320020,DOWNTOWN,,3702,21:51
21,305,120322020,DOWNTOWN,,3902,21:51
21,305,120324020,DOWNTOWN,,3902,21:51
21,305,120325020,DOWNTOWN,,4102,21:51
21,305,120326020,DOWNTOWN,,3902,21:51
21,305,120314020,DOWNTOWN,,3802,21:51
21,305,120315020,DOWNTOWN,,3802,21:51
21,305,120316020,DOWNTOWN,,3702,21:51
21,305,120317020,DOWNTOWN,,3802,21:51
21,305,120318020,DOWNTOWN,,3702,21:51
21,305,120319020,DOWNTOWN,,3802,21:51
21,64,120374010,DOWNTOWN,,7101,21:51
21,305,120309020,DOWNTOWN,,3702,21:51
21,305,120310020,DOWNTOWN,,3702,21:51
21,305,120311020,DOWNTOWN,,3802,21:51
21,305,120312020,DOWNTOWN,,3802,21:51
21,305,120313020,DOWNTOWN,,3702,21:51
28,305,122073020,CHATTANOOGA STATE,,4202,28:01
28,305,122074020,CHATTANOOGA STATE,,4202,28:01
28,305,122075020,CHATTANOOGA STATE,,4202,28:01
28,305,122076020,CHATTANOOGA STATE,,4202,28:01
28,305,122077020,CHATTANOOGA STATE,,4202,28:01
28,305,122082020,CHATTANOOGA STATE,,4802,28:01
28,305,120400020,CHATTANOOGA STATE,,4302,28:01
28,305,120401020,CHATTANOOGA STATE,,4302,28:01
28,305,120402020,CHATTANOOGA STATE,,4302,28:01
28,305,120382020,CHATTANOOGA STATE,,4802,28:01
28,305,120395020,CHATTANOOGA STATE,,4302,28:01
28,305,120396020,CHATTANOOGA STATE,,4302,28:01
28,305,120397020,CHATTANOOGA STATE,,4302,28:01
28,305,120398020,CHATTANOOGA STATE,,4302,28:01
28,305,120399020,CHATTANOOGA STATE,,4302,28:01
28,305,122083020,CHATTANOOGA STATE,,4802,28:01
28,305,122084020,CHATTANOOGA STATE,,4802,28:01
28,305,122085020,CHATTANOOGA STATE,,4802,28:01
28,305,122086020,CHATTANOOGA STATE,,4802,28:01
28,305,122087020,CHATTANOOGA STATE,,4802,28:01
28,305,122078020,DOWNTOWN,,4202,28:51
28,305,122079020,DOWNTOWN,,4202,28:51
28,305,122080020,DOWNTOWN,,4202,28:51
28,305,122081020,DOWNTOWN,,4202,28:51
28,305,122088020,DOWNTOWN,,4802,28:51
28,305,122089020,DOWNTOWN,,4802,28:51
28,305,120423020,DOWNTOWN,,4302,28:51
28,305,120417020,DOWNTOWN,,4302,28:51
28,305,120418020,DOWNTOWN,,4302,28:51
28,305,120419020,DOWNTOWN,,4302,28:51
28,305,120420020,DOWNTOWN,,4302,28:51
28,305,120421020,DOWNTOWN,,4302,28:51
28,305,120422020,DOWNTOWN,,4302,28:51
28,305,122090020,DOWNTOWN,,4802,28:51
28,305,122091020,DOWNTOWN,,4802,28:51
28,305,122092020,DOWNTOWN,,4802,28:51
28,305,120403020,DOWNTOWN,,4202,28:51
28,305,120404020,DOWNTOWN,,4802,28:51
28,305,120416020,DOWNTOWN,,4302,28:51
33,64,121878010,SHUTTLE PARK SOUTH,,5301,33:51
33,64,121879010,SHUTTLE PARK SOUTH,,5401,33:51
33,64,121880010,SHUTTLE PARK SOUTH,,5101,33:51
33,64,121881010,SHUTTLE PARK SOUTH,,5201,33:51
33,64,121872010,SHUTTLE PARK SOUTH,,5101,33:51
33,64,121873010,SHUTTLE PARK SOUTH,,5201,33:51
33,64,121874010,SHUTTLE PARK SOUTH,,5301,33:51
33,64,121875010,SHUTTLE PARK SOUTH,,5401,33:51
33,64,121876010,SHUTTLE PARK SOUTH,,5101,33:51
33,64,121877010,SHUTTLE PARK SOUTH,,5201,33:51
33,64,121866010,SHUTTLE PARK SOUTH,,5301,33:51
33,64,121867010,SHUTTLE PARK SOUTH,,5401,33:51
33,64,121868010,SHUTTLE PARK SOUTH,,5101,33:51
33,64,121869010,SHUTTLE PARK SOUTH,,5201,33:51
33,64,121870010,SHUTTLE PARK SOUTH,,5301,33:51
33,64,121871010,SHUTTLE PARK SOUTH,,5401,33:51
33,64,121818010,SHUTTLE PARK SOUTH,,6001,33:51
33,64,121819010,SHUTTLE PARK SOUTH,,5101,33:51
33,64,121820010,SHUTTLE PARK SOUTH,,5201,33:51
33,64,121863010,SHUTTLE PARK SOUTH,,5401,33:51
33,64,121864010,SHUTTLE PARK SOUTH,,5101,33:51
33,64,121865010,SHUTTLE PARK SOUTH,,5201,33:51
33,64,121812010,SHUTTLE PARK SOUTH,,5201,33:51
33,64,121813010,SHUTTLE PARK SOUTH,,5901,33:51
33,64,121814010,SHUTTLE PARK SOUTH,,6001,33:51
33,64,121815010,SHUTTLE PARK SOUTH,,5101,33:51
33,64,121816010,SHUTTLE PARK SOUTH,,5201,33:51
33,64,121817010,SHUTTLE PARK SOUTH,,5901,33:51
33,64,121806010,SHUTTLE PARK SOUTH,,6001,33:51
33,64,121807010,SHUTTLE PARK SOUTH,,5101,33:51
33,64,121808010,SHUTTLE PARK SOUTH,,5201,33:51
33,64,121809010,SHUTTLE PARK SOUTH,,5901,33:51
33,64,121810010,SHUTTLE PARK SOUTH,,6001,33:51
33,64,121811010,SHUTTLE PARK SOUTH,,5101,33:51
33,64,121800010,SHUTTLE PARK SOUTH,,5201,33:51
33,64,121801010,SHUTTLE PARK SOUTH,,5901,33:51
33,64,121802010,SHUTTLE PARK SOUTH,,6001,33:51
33,64,121803010,SHUTTLE PARK SOUTH,,5101,33:51
33,64,121804010,SHUTTLE PARK SOUTH,,5201,33:51
33,64,121805010,SHUTTLE PARK SOUTH,,5901,33:51
33,58,121683070,SHUTTLE PARK SOUTH,,6007,33:51
33,58,121684070,SHUTTLE PARK SOUTH,,5307,33:51
33,58,121685070,SHUTTLE PARK SOUTH,,5407,33:51
33,58,121686070,SHUTTLE PARK SOUTH,,5107,33:51
33,64,121798010,SHUTTLE PARK SOUTH,,5401,33:51
33,64,121799010,SHUTTLE PARK SOUTH,,5101,33:51
33,58,121677070,SHUTTLE PARK SOUTH,,6207,33:51
33,58,121678070,SHUTTLE PARK SOUTH,,5907,33:51
33,58,121679070,SHUTTLE PARK SOUTH,,6007,33:51
33,58,121680070,SHUTTLE PARK SOUTH,,6107,33:51
33,58,121681070,SHUTTLE PARK SOUTH,,6207,33:51
33,58,121682070,SHUTTLE PARK SOUTH,,5907,33:51
33,58,121671070,SHUTTLE PARK SOUTH,,6007,33:51
33,58,121672070,SHUTTLE PARK SOUTH,,6107,33:51
33,58,121673070,SHUTTLE PARK SOUTH,,6207,33:51
33,58,121674070,SHUTTLE PARK SOUTH,,5907,33:51
33,58,121675070,SHUTTLE PARK SOUTH,,6007,33:51
33,58,121676070,SHUTTLE PARK SOUTH,,6107,33:51
33,58,121620070,SHUTTLE PARK SOUTH,,6207,33:51
33,58,121621070,SHUTTLE PARK SOUTH,,5107,33:51
33,58,121667070,SHUTTLE PARK SOUTH,,6007,33:51
