shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
1:01,35.00019,-85.31357,51000035,
1:01,35.00021,-85.31357,51000031,
1:01,35.00035,-85.31347,51000028,
1:01,35.00050,-85.31339,51000026,
1:01,35.00070,-85.31328,51000024,
1:01,35.00090,-85.31317,51000022,
1:01,35.00111,-85.31306,51000020,
1:01,35.00132,-85.31293,51000018,
1:01,35.00154,-85.31284,51000016,
1:01,35.00176,-85.31271,51000014,
1:01,35.00196,-85.31261,51000012,
1:01,35.00211,-85.31253,51000010,
1:01,35.00223,-85.31245,50000029,
1:01,35.00234,-85.31241,50000023,
1:01,35.00248,-85.31233,50000021,
1:01,35.00265,-85.31225,50000019,
1:01,35.00286,-85.31214,50000017,
1:01,35.00309,-85.31199,50000015,
1:01,35.00334,-85.31185,50000013,
1:01,35.00356,-85.31174,50000011,
1:01,35.00376,-85.31164,50000009,
1:01,35.00393,-85.31155,50000007,
1:01,35.00412,-85.31145,49000023,
1:01,35.00422,-85.31141,49000018,
1:01,35.00435,-85.31131,49000016,
1:01,35.00452,-85.31122,49000014,
1:01,35.00471,-85.31114,49000012,
1:01,35.00489,-85.31103,49000010,
1:01,35.00504,-85.31095,49000008,
1:01,35.00520,-85.31088,48000045,
1:01,35.00528,-85.31082,48000026,
1:01,35.00543,-85.31076,48000023,
1:01,35.00556,-85.31088,48000020,
1:01,35.00562,-85.31104,48000018,
1:01,35.00570,-85.31126,48000016,
1:01,35.00577,-85.31145,48000014,
1:01,35.00586,-85.31166,48000011,
1:01,35.00590,-85.31185,47000024,
1:01,35.00592,-85.31185,47000020,
1:01,35.00599,-85.31206,47000017,
1:01,35.00606,-85.31225,47000015,
1:01,35.00614,-85.31244,47000013,
1:01,35.00621,-85.31266,47000011,
1:01,35.00628,-85.31280,47000009,
1:01,35.00634,-85.31298,46000022,
1:01,35.00640,-85.31314,46000016,
1:01,35.00646,-85.31328,46000014,
1:01,35.00654,-85.31349,46000012,
1:01,35.00662,-85.31369,46000010,
1:01,35.00670,-85.31389,46000008,
1:01,35.00677,-85.31411,45000051,
1:01,35.00679,-85.31416,45000041,
1:01,35.00686,-85.31433,45000038,
1:01,35.00692,-85.31451,45000036,
1:01,35.00699,-85.31468,45000033,
1:01,35.00706,-85.31489,45000023,
1:01,35.00713,-85.31506,45000020,
1:01,35.00720,-85.31527,44000027,
1:01,35.00726,-85.31543,44000021,
1:01,35.00731,-85.31560,44000019,
1:01,35.00738,-85.31576,44000017,
1:01,35.00746,-85.31592,44000015,
1:01,35.00753,-85.31616,44000012,
